t_s,h1_meas_m,h2_est_m,h2_real_m,error_obs_cm,h3_meas_m,ref_m,u1,u3,t_mhe_ms,t_mpc_ms,t_total_ms,error_ctrl_cm
0.0,0.0164,0.1,0.0159,8.41,0.0215,0.1,0.8393168629234317,0.06042443969625053,25.515317916870117,11.116981506347656,2205.759286880493,0.0
2.0,0.0166,0.08799809520162291,0.0159,7.209809520162292,0.0083,0.1,0.9999905209636266,0.098284817740376,1.5048980712890625,11.888980865478516,2152.820348739624,-1.2001904798377094
4.0,0.0166,0.0779719140335138,0.0159,6.207191403351381,0.0083,0.1,0.9999971834889233,0.12209217667964248,4.301309585571289,4.67228889465332,2157.160520553589,-2.20280859664862
6.0,0.036,0.07223918842667022,0.0239,4.833918842667022,0.0162,0.1,0.9999950586744002,0.13573165671708382,25.321483612060547,7.064342498779297,2180.0875663757324,-2.776081157332978
8.0,0.0417,0.0687816939997685,0.0268,4.198169399976849,0.0246,0.1,0.9999975240847525,0.13632473578512366,4.333734512329102,6.253480911254883,2117.8746223449707,-3.1218306000231513
10.0,0.0504,0.06758963955810958,0.0383,2.928963955810958,0.0363,0.1,0.9999971468402288,0.12676913564986603,7.2689056396484375,8.362770080566406,2129.882335662842,-3.2410360441890425
12.0,0.0589,0.0680859570830702,0.0528,1.5285957083070207,0.0479,0.1,0.9999958869826757,0.10573105141156018,1.8546581268310547,11.633157730102539,2098.6289978027344,-3.19140429169298
14.0,0.0706,0.07052213462469993,0.0615,0.9022134624699931,0.0654,0.1,0.9999933239062042,0.08622691397703572,4.401683807373047,9.097576141357422,2107.3029041290283,-2.9477865375300074
16.0,0.0734,0.0734542270351053,0.0757,-0.2245772964894699,0.074,0.1,0.9999660701526039,0.06727362575242092,5.026578903198242,8.188962936401367,2113.7702465057373,-2.65457729648947
18.0,0.0849,0.07731399688982346,0.0846,-0.7286003110176533,0.0798,0.1,0.8542218871996863,0.049684750406211536,52.72269248962402,9.823799133300781,2156.0490131378174,-2.2686003110176545
20.0,0.0973,0.08216937117351479,0.0938,-1.1630628826485203,0.089,0.1,0.6151534391677943,0.0335337670201726,6.394624710083008,6.566524505615234,2058.2292079925537,-1.7830628826485215
22.0,0.1131,0.08809654165484078,0.1065,-1.8403458345159218,0.1017,0.1,0.43245052903995956,0.024958720072984556,25.863170623779297,8.610963821411133,2129.622459411621,-1.1903458345159226
24.0,0.1131,0.092870789017113,0.1096,-1.6729210982887002,0.105,0.1,0.3206412330227391,0.0209813840201151,88.90056610107422,8.776426315307617,2167.530059814453,-0.7129210982887004
26.0,0.1101,0.0963055908814901,0.1128,-1.6494409118509898,0.1114,0.1,0.2393580507942192,0.017691616883867334,9.01651382446289,7.706880569458008,2032.7391624450684,-0.3694409118509906
28.0,0.1101,0.09898282537474662,0.1128,-1.381717462525338,0.121,0.1,0.250753528236502,0.020601482704573175,9.549140930175781,5.547523498535156,2112.4703884124756,-0.10171746252533864
30.0,0.1004,0.09933967927369707,0.116,-1.6660320726302942,0.1114,0.1,0.27781314259710144,0.02256051828237842,76.03335380554199,8.348464965820312,2169.2943572998047,-0.06603207263029404
32.0,0.1036,0.09924526201916456,0.1097,-1.0454737980835447,0.1048,0.1,0.3077711977713534,0.0242100076251597,75.2871036529541,8.218050003051758,2105.5357456207275,-0.0754737980835446
34.0,0.0973,0.09877453015821643,0.113,-1.4225469841783578,0.1082,0.1,0.3311188038739027,0.02525964021687163,67.8098201751709,8.181571960449219,2107.717514038086,-0.12254698417835802
36.0,0.1004,0.09830656399372016,0.1033,-0.49934360062798416,0.1017,0.1,0.3593155309594966,0.02683417181308711,3.292083740234375,10.226726531982422,2044.302225112915,-0.16934360062798443
38.0,0.0941,0.09758924819748506,0.1097,-1.2110751802514947,0.1048,0.1,0.41274136780932497,0.03027508173576117,3.7152767181396484,9.028434753417969,2105.732202529907,-0.2410751802514946
40.0,0.0878,0.09629138151388054,0.1,-0.3708618486119461,0.0985,0.1,0.4269493365390495,0.03009991146406633,5.282163619995117,8.954286575317383,2107.6812744140625,-0.3708618486119461
42.0,0.0909,0.095931748093833,0.0938,0.21317480938329997,0.1017,0.1,0.43029639614150916,0.029915070836873,104.35938835144043,8.913278579711914,2213.6104106903076,-0.40682519061670114
44.0,0.0941,0.09578743884424705,0.1065,-1.0712561155752947,0.0953,0.1,0.39168368207701143,0.026812935830819756,0.0,13.175725936889648,2006.6180229187012,-0.4212561155752956
46.0,0.1004,0.09664030057066486,0.1033,-0.6659699429335142,0.1017,0.1,0.366267667888485,0.0257254356467481,4.173755645751953,7.7571868896484375,2105.5421829223633,-0.33596994293351445
48.0,0.1004,0.09722179202939384,0.1,-0.27782079706061696,0.0985,0.1,0.3913005764222829,0.02830543215827604,52.38771438598633,6.148815155029297,2153.9347171783447,-0.27782079706061696
50.0,0.0878,0.09666358036482513,0.1033,-0.6636419635174875,0.1017,0.1,0.4441592519497724,0.03187713157428472,21.146059036254883,12.343883514404297,2090.308904647827,-0.3336419635174878
52.0,0.0849,0.09550427119033782,0.097,-0.14957288096621862,0.0953,0.1,0.46593784055240794,0.032326012910091205,28.209447860717773,8.36634635925293,2108.7701320648193,-0.4495728809662189
54.0,0.0878,0.09497343484240874,0.1,-0.502656515759127,0.0985,0.1,0.5398781628242326,0.037440326791346526,468.9009189605713,10.101318359375,2549.9114990234375,-0.502656515759127
56.0,0.082,0.09318798914638353,0.0938,-0.061201085361646534,0.08,0.1,0.5278050505505313,0.034701096349078996,5.332231521606445,8.677005767822266,1642.4756050109863,-0.6812010853616477
58.0,0.1004,0.09347972066560421,0.0938,-0.03202793343957816,0.0829,0.1,0.4549959540303203,0.0292216614234229,2.8390884399414062,8.736610412597656,1750.6732940673828,-0.6520279334395793
60.0,0.1038,0.09494907375882791,0.097,-0.20509262411720908,0.0985,0.1,0.4124522123741353,0.02762549258330001,4.608392715454102,7.67827033996582,2107.653856277466,-0.5050926241172093
62.0,0.0973,0.0957905234609124,0.1,-0.42094765390876115,0.1017,0.1,0.3418276313174159,0.023328971065744636,5.187749862670898,9.010553359985352,2108.414888381958,-0.42094765390876115
64.0,0.1068,0.09749987202315089,0.1065,-0.9000127976849113,0.1082,0.1,0.30878413254295534,0.022502682121288572,3.8902759552001953,5.789279937744141,2103.180170059204,-0.250012797684912
66.0,0.1038,0.09837964081079566,0.1065,-0.812035918920434,0.105,0.1,0.3214130581699004,0.024348415892344755,43.299198150634766,11.215925216674805,2152.1191596984863,-0.16203591892043484
68.0,0.0941,0.09824481773893234,0.1096,-1.135518226106766,0.1082,0.1,0.3608627884689446,0.027143204936444735,90.46792984008789,8.749723434448242,2158.799409866333,-0.17551822610676615
70.0,0.1006,0.09760079363136351,0.1033,-0.5699206368636495,0.089,0.1,0.45019955231633296,0.033097865101217025,5.19871711730957,7.580280303955078,2019.7505950927734,-0.23992063686364973
72.0,0.082,0.09558733876627679,0.1065,-1.091266123372321,0.0922,0.1,0.4994669490386882,0.03483066491883633,21.117448806762695,8.365154266357422,2124.169111251831,-0.44126612337232196
74.0,0.0849,0.09436458278865958,0.1,-0.5635417211340421,0.0955,0.1,0.5589138935573971,0.03819063823031949,5.604267120361328,8.645296096801758,2098.9527702331543,-0.5635417211340421
76.0,0.0791,0.09274511495281176,0.1033,-1.055488504718824,0.089,0.1,0.5155074302061561,0.0333105857803642,1.8410682678222656,11.716365814208984,2106.966733932495,-0.7254885047188242
78.0,0.1004,0.09360512199363016,0.1033,-0.9694878006369839,0.0922,0.1,0.45958282272952417,0.029834918103724913,5.162477493286133,7.494926452636719,2109.06982421875,-0.6394878006369842
80.0,0.1004,0.09468258712064102,0.1063,-1.1617412879358981,0.0955,0.1,0.4033121989038851,0.02684368254003412,5.591630935668945,8.734941482543945,2104.4085025787354,-0.5317412879358983
82.0,0.1036,0.09597439209738046,0.1096,-1.3625607902619548,0.0985,0.1,0.3174990610934388,0.02168971174142917,25.819063186645508,7.361173629760742,2135.145425796509,-0.4025607902619549
84.0,0.1131,0.09808549374141295,0.1033,-0.5214506258587048,0.105,0.1,0.2398900238719265,0.01787226659629219,41.521549224853516,6.550312042236328,2120.755434036255,-0.1914506258587051
86.0,0.1131,0.1000325284694151,0.1033,-0.32674715305849034,0.1114,0.1,0.2392212913173896,0.01974166802293683,19.585609436035156,11.470317840576172,2092.738389968872,0.003252846941509402
88.0,0.1036,0.10031442546266944,0.1065,-0.6185574537330554,0.105,0.1,0.2677849713587251,0.022058438480825934,74.20492172241211,9.147882461547852,2156.601905822754,0.03144254626694376
