t_s,h1_meas_m,h1_est_m,h2_est_m,h2_real_m,error_obs_cm,h3_meas_m,h3_est_m,ref_m,u1,u3,z_int,error_ctrl_cm
0.0,0.0166,0.0166,0.0159,0.0159,0.0,0.0161,0.0161,0.1,0.8679067512615949,0.05824890876262141,0.0,-8.41
2.0,0.0246,0.01824851790205441,0.01658807405983338,0.0159,0.06880740598333782,0.0161,0.015797387220854428,0.1,0.9999984266587084,0.24727119382779936,0.0,-8.341192594016663
4.0,0.0191,0.0219466273585042,0.016154107804566453,0.0161,0.005410780456645281,0.011,0.01448472314949985,0.1,0.9999993365467039,0.28787364790349684,0.0,-8.384589219543354
6.0,0.0446,0.03044209092126356,0.019195187267724276,0.0184,0.0795187267724276,0.0215,0.016972517016965536,0.1,0.9999983729579891,0.2473497999387872,0.0,-8.080481273227573
8.0,0.0504,0.03868580423632471,0.023521085657107532,0.0412,-1.7678914342892469,0.0363,0.021902855194517415,0.1,0.9999974256909834,0.17044735197145075,0.0,-7.647891434289248
10.0,0.0591,0.047198692002429904,0.028947670099663994,0.0526,-2.3652329900336007,0.0479,0.02791120534198364,0.1,0.9999969035872849,0.09323135063102535,0.0,-7.105232990033601
12.0,0.0649,0.055527520930527964,0.03529842378100448,0.0672,-3.1901576218995515,0.0652,0.035462642430217496,0.1,0.8759017217086517,0.043327306474876696,0.0,-6.470157621899553
14.0,0.0791,0.06512725861432185,0.04265674319064385,0.0759,-3.3243256809356145,0.0711,0.04249847834500534,0.1,0.33857051387890086,0.00906849919215471,0.0,-5.734325680935616
16.0,0.0941,0.07487927180393084,0.051145255625279454,0.0846,-3.345474437472054,0.0798,0.049765661512571065,0.1,0.323759583011386,0.018796903378588317,0.0,-4.885474437472055
18.0,0.0735,0.07421521752080677,0.05693240177092502,0.0905,-3.356759822907498,0.0921,0.05729273187273651,0.1,0.5688253296115225,0.035865737732350744,0.0,-4.306759822907499
20.0,0.0822,0.07571853386549689,0.0611477997179791,0.0938,-3.2652200282020893,0.0711,0.059631777384837006,0.1,0.6754294919698548,0.03833686461359279,0.0,-3.8852200282020903
