t_s,h1_meas_m,h1_est_m,h2_est_m,h2_real_m,error_obs_cm,h3_meas_m,h3_est_m,ref_m,u1,u3,z_int,error_ctrl_cm
0.0,0.0246,0.0246,0.0161,0.0161,0.0,0.0164,0.0164,0.1,0.5666734416894794,0.03916680111466382,0.0,-8.39
2.0,0.0246,0.023371731551091336,0.017460079204355796,0.0161,0.13600792043557963,0.0164,0.016083476803018373,0.1,0.9999978042775409,0.12165267885285527,0.0,-8.253992079564421
4.0,0.0246,0.025485628287987127,0.018249905269807184,0.0161,0.2149905269807184,0.0164,0.01603222441561676,0.1,0.9999990496789283,0.3857625514509037,0.0,-8.175009473019282
6.0,0.0217,0.0285264538853149,0.018541201493873023,0.0161,0.24412014938730228,0.0164,0.016239509894428437,0.1,0.9999994402849167,0.6543185340591572,0.0,-8.1458798506127
8.0,0.0332,0.03310745868334907,0.020114771297689175,0.0212,-0.10852287023108247,0.0164,0.017761888300465878,0.1,0.9999994976272906,0.7370672415553553,0.0,-7.988522870231082
10.0,0.0475,0.03954226975742678,0.023271643719778072,0.0186,0.46716437197780736,0.0218,0.021625451993579,0.1,0.9999996822951421,0.5784369074435548,0.0,-7.6728356280221925
12.0,0.0649,0.04824471848236445,0.02844008204624804,0.0412,-1.2759917953751962,0.0336,0.027920644031232907,0.1,0.9999990117664577,0.3916940392102669,0.0,-7.155991795375197
14.0,0.0706,0.056788938514711555,0.0344959556513048,0.0558,-2.1304044348695204,0.048,0.03505238606729272,0.1,0.9999986570712084,0.2884647898385557,0.0,-6.550404434869521
16.0,0.0649,0.06299602440115694,0.04023885755796308,0.0616,-2.136114244203692,0.0655,0.042774747802113634,0.1,0.9999973585624912,0.16667382143319193,0.0,-5.976114244203693
18.0,0.0793,0.07116973509911409,0.04714722497598924,0.0788,-3.165277502401075,0.0742,0.0502219749879605,0.1,0.9999922588656496,0.08633665581508819,0.0,-5.285277502401076
20.0,0.088,0.07969432136466846,0.05451259229087764,0.0846,-3.0087407709122354,0.0829,0.0571021185928424,0.1,0.8847229809812897,0.044473065067829574,0.0,-4.548740770912237
22.0,0.0941,0.08793902064292755,0.06198748364788809,0.097,-3.501251635211191,0.0922,0.06386569936590696,0.1,0.3926929627943551,0.013447787247141336,0.0,-3.8012516352111914
24.0,0.1101,0.0968169914744783,0.07066121366356162,0.1065,-3.5838786336438373,0.1017,0.07112936646796812,0.1,0.13229013710455315,0.007202662881914409,0.0,-2.9338786336438383
26.0,0.1131,0.09975162332477792,0.07840661946579627,0.1097,-3.129338053420373,0.1019,0.07691952203261339,0.1,0.372159734576144,0.028370536783724323,0.0,-2.159338053420373
28.0,0.0973,0.09702898471957563,0.0829610594536648,0.1097,-2.67389405463352,0.1082,0.08248819540442776,0.1,0.6318589109864245,0.04087638715107346,0.0,-1.7038940546335202
30.0,0.1006,0.09878176227845044,0.08670606891706441,0.1033,-1.6593931082935596,0.1114,0.08778803554779863,0.1,0.9999783786369234,0.06931614265414689,0.0,-1.3293931082935597
32.0,0.0943,0.10135114171004912,0.08832751550216064,0.1065,-1.8172484497839356,0.105,0.09045190305189017,0.1,0.8702063663189704,0.04436551025433376,0.0,-1.1672484497839364
34.0,0.1196,0.11220743192512071,0.09304170148520777,0.1065,-1.345829851479223,0.1084,0.0940234829915136,0.1,0.15282681293837275,0.0012289895542626468,0.0,-0.6958298514792238
36.0,0.1228,0.11948318470934033,0.09814012624326773,0.1223,-2.415987375673227,0.1147,0.09792079246306935,0.1,5.541911143213142e-07,1.3505538058740263e-06,0.0,-0.1859873756732272
38.0,0.1324,0.11947861824461993,0.1048688188852203,0.1257,-2.08311811147797,0.1308,0.10429732413396693,0.1,2.334429957680228e-07,5.480224914786076e-07,0.0,0.4868818885220297
40.0,0.1259,0.11728309574564742,0.10886375056444156,0.1256,-1.673624943555843,0.1274,0.10852492006694762,0.1,1.6454993299526082e-07,3.8066573446778757e-07,0.0,0.8863750564441553
42.0,0.1196,0.11508402958839463,0.11100776921732086,0.1193,-0.8292230782679142,0.1308,0.11240965872704617,0.1,1.2765939635040596e-07,2.9279098994213516e-07,0.0,1.1007769217320855
44.0,0.1228,0.11443121509742346,0.1124511406994568,0.1256,-1.3148859300543188,0.1244,0.11410525769003951,0.1,1.7749028106408754e-07,4.133265894523882e-07,0.0,1.2451140699456797
46.0,0.1164,0.11271799011691552,0.11195498843536618,0.116,-0.4045011564633827,0.1147,0.11309574287409059,0.1,1.6614552801614407e-07,3.8561903517429246e-07,0.0,1.1954988435366174
48.0,0.1196,0.11234665436457547,0.11231535753962436,0.1225,-1.0184642460375635,0.121,0.11385740685128291,0.1,2.775441737900659e-07,6.619866787464498e-07,0.0,1.2315357539624359
50.0,0.1131,0.11066285982955125,0.1110389871060542,0.1162,-0.5161012893945799,0.1114,0.11210821364781241,0.1,2.957598932334282e-07,7.080214103967481e-07,0.0,1.1038987106054194
52.0,0.1164,0.11025068660634159,0.11087475299297411,0.1193,-0.8425247007025891,0.1179,0.11236096381844488,0.1,5.95811354015965e-07,1.4975302254911884e-06,0.0,1.0874752992974108
54.0,0.1101,0.10851207623592073,0.10923241016694575,0.1128,-0.35675898330542466,0.1082,0.11019338274985033,0.1,1.2970373208515522e-06,3.502837950834641e-06,0.0,0.9232410166945746
56.0,0.1131,0.10769727179348088,0.10768752290812862,0.1162,-0.8512477091871375,0.0987,0.10650642040275793,0.1,1.718255670281902e-06,5.3980133310028935e-06,0.0,0.7687522908128617
58.0,0.1068,0.10588396014716843,0.10607934254136692,0.1065,-0.04206574586330808,0.1051,0.10511304244455963,0.1,2.6101593921081387e-06,9.136223329318834e-06,0.0,0.6079342541366911
60.0,0.1101,0.10528522251175883,0.10546795626323743,0.1002,0.5267956263237437,0.1084,0.10489207272678468,0.1,0.17626098242315066,0.019932694572966623,0.0,0.5467956263237428
62.0,0.091,0.10066229222544842,0.10189785642157553,0.1033,-0.14021435784244696,0.1019,0.10272135772306827,0.1,0.43973865106196086,0.03372689675661065,-0.0037957128431510556,0.18978564215755278
64.0,0.0941,0.0997106190593872,0.09962123649740146,0.1065,-0.6878763502598542,0.105,0.10203015745296715,0.1,0.8406413975210535,0.053413482760899245,-0.003038185837953955,-0.03787635025985503
66.0,0.0878,0.09983653020887855,0.09656855661788659,0.1002,-0.36314433821134084,0.0987,0.09992644713639035,0.1,0.6271772857818473,0.03170297159633803,0.003824700926272878,-0.34314433821134166
68.0,0.1101,0.10830924147703881,0.0975082266310312,0.1097,-1.2191773368968803,0.1017,0.09967400159504891,0.1,0.3982857716219696,0.020694332220777222,0.008808247664210483,-0.24917733689688026
70.0,0.1068,0.11127699026828101,0.09886485791872536,0.1065,-0.7635142081274637,0.1082,0.10060139039416567,0.1,0.30970150316634154,0.019859041315550274,0.011078531826759774,-0.11351420812746454
72.0,0.1038,0.1103414696640143,0.09975515007216101,0.1097,-0.9944849927838992,0.1084,0.10124532196286397,0.1,0.10485212440922477,0.009241199129371476,0.011568231682437757,-0.02448499278389915
74.0,0.1101,0.11029754238592547,0.10142292793469311,0.113,-1.1577072065306893,0.1116,0.10268575826003935,0.1,0.05035201602105903,0.010049971634028777,0.008722375813051547,0.1422927934693105
76.0,0.1036,0.10704731641038334,0.10202807736977408,0.1065,-0.44719226302259163,0.1147,0.10427325145695131,0.1,0.06375751596336088,0.012435587732043746,0.004666221073503396,0.20280773697740756
78.0,0.1068,0.10497346721511544,0.10207568893449823,0.1097,-0.7624311065501779,0.105,0.10350626792662351,0.1,0.14019103269011748,0.017154296714647264,0.000514843204506954,0.2075688934498221
80.0,0.1006,0.10260856565990262,0.1015180769986787,0.1033,-0.1781923001321309,0.1114,0.10425300699054334,0.1,0.5449373009969453,0.04108157027640273,-0.002521310792850423,0.15180769986786885
82.0,0.0941,0.10002423970612069,0.0987643365925453,0.1065,-0.7735663407454698,0.0922,0.10032365422031442,0.1,0.3480821232180506,0.020768861209748697,-4.9983977941009394e-05,-0.12356634074547068
84.0,0.1101,0.10567692192661243,0.09969587567224904,0.1065,-0.680412432775096,0.1084,0.10164640593744712,0.1,0.3679581817015517,0.025037072640352338,0.0005582646775609268,-0.03041243277509681
