t_s,h1_meas_m,h1_est_m,h2_est_m,h2_real_m,error_obs_cm,h3_meas_m,h3_est_m,ref_m,u1,u3,z_int,error_ctrl_cm
0.0,0.0166,0.0166,0.0159,0.0159,0.0,0.0164,0.0164,0.1,0.9999944139410945,0.09633769357696269,0.0,-8.41
2.0,0.0166,0.016473635066899913,0.015165285900896372,0.0083,0.6865285900896372,0.0086,0.014038734214569673,0.1,0.9999982929101577,0.22871941225011652,0.0,-8.483471409910363
4.0,0.0273,0.022916943143821582,0.016178867456325765,0.0081,0.8078867456325766,0.0164,0.014704452175622901,0.1,0.9999989776096578,0.3681228870775902,0.0,-8.382113254367423
6.0,0.0389,0.029899543583616642,0.018260334585229385,0.0239,-0.5639665414770616,0.0135,0.015292654187702367,0.1,0.9999994211644408,0.3292978519388161,0.0,-8.173966541477062
8.0,0.0475,0.03761657821432446,0.022447458400220503,0.0268,-0.4352541599779498,0.0365,0.020837144580757506,0.1,0.9999983287721419,0.2419357150115766,0.0,-7.755254159977951
10.0,0.0562,0.04565238322319496,0.027573469574649973,0.0499,-2.2326530425350026,0.0451,0.02691126944608585,0.1,0.9999961376629344,0.12884831694311472,0.0,-7.242653042535004
12.0,0.0677,0.05471074124221514,0.03420616577232474,0.0586,-2.4393834227675257,0.0626,0.034646730777316476,0.1,0.9999715082592098,0.061589465918860255,0.0,-6.579383422767526
14.0,0.0764,0.06386551789448226,0.04129998075867993,0.0672,-2.5900019241320065,0.0684,0.041494534753727774,0.1,0.6579446677660523,0.02735707202288356,0.0,-5.870001924132008
16.0,0.0849,0.0730921143277573,0.04886827981784894,0.0817,-3.2831720182151054,0.0773,0.04836972962114297,0.1,0.3454344878770157,0.01378889184342334,0.0,-5.113172018215106
18.0,0.0878,0.07827010077984044,0.05625840843521149,0.0938,-3.754159156478851,0.0859,0.055389661971409015,0.1,0.4453010401540373,0.026986447619233443,0.0,-4.374159156478852
20.0,0.0764,0.07772855451723963,0.06139624690333818,0.0938,-3.240375309666182,0.0922,0.061943440934229585,0.1,0.6072465814244652,0.036223625381515114,0.0,-3.860375309666183
22.0,0.0849,0.08044989087981015,0.06590538196892792,0.097,-3.109461803107208,0.0859,0.06628905947941448,0.1,0.7909039533796698,0.04490838902370184,0.0,-3.409461803107208
24.0,0.0878,0.08478868428358508,0.06977992936079906,0.097,-2.722007063920094,0.0858,0.06981774147321615,0.1,0.5866521835556378,0.028638314060145335,0.0,-3.0220070639200944
26.0,0.1068,0.09387822829017849,0.07596585623351138,0.097,-2.1034143766488627,0.0987,0.07564635368971297,0.1,0.4642643182975317,0.02498538246012051,0.0,-2.403414376648863
28.0,0.1131,0.0999895532674003,0.08187447567159228,0.1033,-2.142552432840772,0.0955,0.07958283770126216,0.1,0.5600304107901061,0.03401258216829132,0.0,-1.8125524328407723
30.0,0.1068,0.10248160311734526,0.08655308440518063,0.1033,-1.6746915594819376,0.1051,0.0845121277034571,0.1,0.6407327472490312,0.0377947579220817,0.0,-1.3446915594819377
32.0,0.1131,0.10693279688754427,0.09116180054594242,0.1065,-1.533819945405758,0.1084,0.08926398595739264,0.1,0.558782387587756,0.031224470174943893,0.0,-0.8838199454057588
34.0,0.1196,0.11259034008603505,0.09587884206962359,0.1193,-2.3421157930376415,0.1116,0.09378113803569822,0.1,4.140452192818214e-06,1.0148781600268275e-05,0.0,-0.4121157930376415
36.0,0.1291,0.11810321209342543,0.10157779072789108,0.1193,-1.7722209272108922,0.1211,0.09942608932092624,0.1,1.0134714257293222e-06,2.6362021867687857e-06,0.0,0.15777907278910763
38.0,0.1194,0.11458407986369341,0.10533307432940803,0.1256,-2.026692567059196,0.1244,0.1040860375598944,0.1,3.394305136853465e-07,8.175165829498785e-07,0.0,0.5333074329408022
40.0,0.1259,0.11410204679576846,0.10889801429197929,0.116,-0.7101985708020717,0.1276,0.10859653933352102,0.1,1.412353943185407e-07,3.4491421036436886e-07,0.0,0.8898014291979284
42.0,0.1196,0.11276196940003519,0.11002314180154513,0.1193,-0.9276858198454876,0.1179,0.10982486998756924,0.1,5.432915972688697e-07,1.3556384640715863e-06,0.0,1.0023141801545121
44.0,0.1101,0.10997841002005976,0.10903466731217053,0.113,-0.3965332687829476,0.1116,0.10913843954526278,0.1,5.497598215875115e-07,1.373588665901045e-06,0.0,0.9034667312170521
46.0,0.1164,0.10944782028857818,0.10918786655139003,0.116,-0.681213344860998,0.1147,0.10950415135235342,0.1,1.319786694578224e-06,3.5695382487140663e-06,0.0,0.918786655139002
48.0,0.1068,0.10704904945097209,0.10753970789421623,0.1097,-0.21602921057837787,0.1084,0.10811026983894734,0.1,2.4739982749401505e-06,8.50607678742589e-06,0.0,0.7539707894216221
50.0,0.1006,0.10408395584455099,0.10553717778269418,0.1128,-0.7262822217305814,0.1116,0.10761264182192488,0.1,1.8937722260223446e-05,0.003257862207423738,0.0,0.5537177782694178
52.0,0.1036,0.10246545940785898,0.1038954113146025,0.1063,-0.24045886853975018,0.105,0.10582691277218469,0.1,0.20143997953107795,0.02169010787467535,0.0,0.3895411314602498
54.0,0.0973,0.09999010514836679,0.10195490261611263,0.1097,-0.7745097383887373,0.1084,0.10511336866329582,0.1,0.2848631328184478,0.02347553675546678,0.0,0.19549026161126276
56.0,0.1004,0.10080456382331704,0.10096642588381012,0.1033,-0.2333574116189882,0.1116,0.10547739389494667,0.1,0.6037242771097394,0.0416168292189763,0.0,0.09664258838101153
58.0,0.0941,0.10031032937116109,0.09816213671850138,0.1065,-0.8337863281498616,0.0922,0.10110845749743518,0.1,0.4773262746855655,0.02733062872275104,0.0,-0.1837863281498625
60.0,0.1036,0.10512440582282982,0.09836843914975284,0.1065,-0.813156085024716,0.1084,0.10189809071284199,0.1,0.23336385299928214,0.01391609464548756,0.0,-0.16315608502471685
62.0,0.1101,0.10836622127513754,0.09978431507015387,0.1097,-0.9915684929846138,0.1082,0.10243785296651281,0.1,0.19345797521349758,0.016275947990209663,0.0004313698596922766,-0.02156849298461383
64.0,0.1004,0.10622154933039377,0.10023339505548533,0.116,-1.5766604944514677,0.1147,0.10394167667316699,0.1,0.1609291787389391,0.015509441114151014,-3.5420251278367454e-05,0.023339505548532202
66.0,0.1068,0.10564054353795824,0.1006899380764141,0.1096,-0.8910061923585899,0.1051,0.10322523811285579,0.1,0.3345516460438476,0.02719191565532642,-0.001415296404106564,0.06899380764140983
68.0,0.1006,0.10359630144367944,0.09972022864304576,0.113,-1.327977135695424,0.0987,0.10115088167589613,0.1,0.3793669082127069,0.026724413234483654,-0.00085575369019808,-0.027977135695424205
70.0,0.1036,0.10458945525865578,0.09942924777403257,0.1065,-0.7070752225967425,0.1019,0.1005376492742633,0.1,0.8708663663631481,0.0562981970735693,0.00028575076173678604,-0.0570752225967433
72.0,0.0849,0.10140576509791872,0.09625261973328851,0.1097,-1.3447380266711495,0.0955,0.098091393311744,0.1,0.6603677440924268,0.03335576594476643,0.0077805112951597755,-0.37473802667114947
74.0,0.1068,0.10880898241258768,0.09744939280594354,0.1065,-0.9050607194056454,0.1084,0.09988963629427942,0.1,0.19176196267435683,0.007391974501175014,0.012881725683272699,-0.2550607194056462
76.0,0.1196,0.1142829820162516,0.10040099893765998,0.1128,-1.2399001062340016,0.1051,0.1005906229763898,0.1,3.195209050844696e-06,8.894739579538157e-06,0.012079727807952745,0.04009989376599771
78.0,0.1196,0.11356279637581639,0.10371321096684427,0.116,-1.2286789033155734,0.1147,0.10312672468211619,0.1,1.0700538879918405e-06,2.839701538904889e-06,0.004653305874264213,0.3713210966844266
80.0,0.1164,0.11092434843834241,0.10592302357939243,0.1193,-1.3376976420607576,0.1179,0.10573451405441749,0.1,6.242769653742335e-07,1.7127616826125063e-06,-0.007192741284520632,0.5923023579392422
82.0,0.1101,0.1080337225252936,0.1058729506134977,0.113,-0.7127049386502299,0.1084,0.10552880944871203,0.1,6.527546206335862e-06,2.5809990070893057e-05,-0.015,0.5872950613497698
84.0,0.1006,0.10404398970262911,0.10366308278868679,0.116,-1.233691721131322,0.0987,0.10297577775711834,0.1,0.10573699284743818,0.0159357535597748,-0.015,0.36630827886867806
