t_s,h1_meas_m,h2_est_m,h2_real_m,error_obs_cm,h3_meas_m,ref_m,u1,u3,t_mhe_ms,t_mpc_ms,t_total_ms,error_ctrl_cm
0.0,0.0217,0.1,0.0159,8.41,0.0135,0.1,0.8089793080955211,0.05814317855691923,6.697654724121094,9.122610092163086,2183.833122253418,0.0
2.0,0.0217,0.0886894007655611,0.0159,7.27894007655611,0.0135,0.1,0.9999886144960427,0.09276973702979795,2.492189407348633,10.909080505371094,2166.5360927581787,-1.1310599234438903
4.0,0.0191,0.07899532735708599,0.0159,6.309532735708599,0.0135,0.1,0.9999941099732962,0.11947398788739175,3.838777542114258,9.551525115966797,2170.0878143310547,-2.1004672642914017
6.0,0.036,0.07273085320008188,0.0159,5.683085320008188,0.0084,0.1,0.9999971330913231,0.12321785009982826,6.903171539306641,8.855342864990234,2150.1286029815674,-2.7269146799918125
8.0,0.0533,0.0705361691506794,0.021,4.953616915067939,0.0303,0.1,0.9999968413587923,0.11807940100094469,4.5223236083984375,8.368968963623047,2131.2437057495117,-2.946383084932061
10.0,0.0591,0.07007569509630661,0.047,2.3075695096306608,0.0421,0.1,0.9999959837436931,0.105337573054509,5.617618560791016,7.756471633911133,2118.1139945983887,-2.9924304903693395
12.0,0.0649,0.07117703455945805,0.0615,0.9677034559458051,0.0565,0.1,0.9999935475266162,0.08648268412103362,5.536794662475586,8.180618286132812,2103.8246154785156,-2.8822965440541957
14.0,0.0793,0.07386729583715063,0.0672,0.6667295837150631,0.0625,0.1,0.9999824846458607,0.0707899661563725,5.204916000366211,8.700132369995117,2114.131450653076,-2.613270416284938
16.0,0.0764,0.07687113975892702,0.0844,-0.7528860241072979,0.0798,0.1,0.9128766407602202,0.054619208748348795,4.113674163818359,9.343862533569336,2106.9602966308594,-2.312886024107298
18.0,0.0878,0.08093628588374294,0.0938,-1.286371411625706,0.0888,0.1,0.7491168019570484,0.04268260571189311,6.356716156005859,7.865190505981445,2107.6643466949463,-1.906371411625707
20.0,0.0973,0.08513974061326916,0.0938,-0.8660259386730831,0.0888,0.1,0.562782184166486,0.03186474356242908,7.00831413269043,7.94529914855957,2108.3810329437256,-1.4860259386730843
22.0,0.1068,0.08984713525958878,0.1097,-1.9852864740411231,0.1017,0.1,0.42084943081114384,0.02542060742011633,30.796289443969727,9.786367416381836,2139.953136444092,-1.015286474041123
24.0,0.107,0.09370197579005478,0.116,-2.2298024209945226,0.1082,0.1,0.31603221920422014,0.0209970768705013,4.870176315307617,12.714862823486328,2087.6402854919434,-0.6298024209945228
26.0,0.1131,0.0968583920736251,0.1193,-2.244160792637491,0.1082,0.1,0.2213584144994605,0.016492723898903137,27.70829200744629,7.298469543457031,2121.0827827453613,-0.3141607926374912
28.0,0.1164,0.09969208646708304,0.1193,-1.9607913532916965,0.1177,0.1,0.18874083961158047,0.01633696656902562,23.15497398376465,7.049798965454102,2101.560592651367,-0.030791353291696744
30.0,0.1068,0.10091446027059013,0.1096,-0.8685539729409872,0.121,0.1,0.22533956468941588,0.020010461255331406,25.033950805664062,8.274316787719727,2117.9935932159424,0.09144602705901256
32.0,0.1006,0.10048592818550507,0.116,-1.5514071814494934,0.1113,0.1,0.2968005759758969,0.024688062173060975,7.367849349975586,11.851310729980469,2092.203378677368,0.04859281855050662
34.0,0.0941,0.09912963059678376,0.1097,-1.0570369403216249,0.1048,0.1,0.32821426220507155,0.025393231347368227,136.1849308013916,9.905815124511719,2233.165979385376,-0.08703694032162479
36.0,0.0973,0.09846887857236025,0.113,-1.453112142763975,0.108,0.1,0.37770161030646,0.028356128311322167,6.200075149536133,7.534980773925781,1981.6288948059082,-0.15311214276397533
38.0,0.091,0.09718304930789236,0.1033,-0.6116950692107646,0.1017,0.1,0.38831258356479803,0.0279727033807201,3.304719924926758,10.12277603149414,2105.962038040161,-0.28169506921076476
40.0,0.0941,0.09685552380725533,0.1096,-1.2744476192744671,0.105,0.1,0.41995988179722465,0.030091790605929314,6.700992584228516,7.57145881652832,2107.8269481658936,-0.31444761927446746
42.0,0.0878,0.09603171924304155,0.1002,-0.41682807569584507,0.0985,0.1,0.42429831367792625,0.029674555992641512,23.841381072998047,6.804466247558594,2124.2611408233643,-0.3968280756958459
44.0,0.091,0.09588901681327477,0.0938,0.208901681327478,0.1017,0.1,0.45714070726723144,0.03201388872578493,30.791759490966797,5.943536758422852,2114.1293048858643,-0.4110983186725231
46.0,0.0941,0.0951613036041609,0.097,-0.18386963958390984,0.0827,0.1,0.47670278580117026,0.032725562258898,7.645130157470703,7.793664932250977,2085.4361057281494,-0.4838696395839101
48.0,0.0943,0.0947703173415334,0.097,-0.22296826584665974,0.0856,0.1,0.418720707012571,0.02776448055373955,28.275728225708008,13.466358184814453,2139.8825645446777,-0.52296826584666
50.0,0.1006,0.09601856203185215,0.1063,-1.0281437968147857,0.1048,0.1,0.3595937734266633,0.024511231289689562,66.02931022644043,10.504007339477539,2142.4331665039062,-0.3981437968147858
52.0,0.1068,0.09731342686776717,0.1096,-1.228657313223283,0.0985,0.1,0.3323166286298599,0.023872665550542165,28.827428817749023,8.849382400512695,2068.3836936950684,-0.26865731322328334
54.0,0.0973,0.09796089423089063,0.1097,-1.1739105769109373,0.1082,0.1,0.3796172495044709,0.02823559618419588,239.38441276550293,10.09511947631836,2325.7758617401123,-0.20391057691093728
56.0,0.0878,0.09698334571632473,0.1033,-0.6316654283675269,0.0985,0.1,0.41844378842305285,0.03019425178206931,6.656169891357422,8.208513259887695,1872.7080821990967,-0.30166542836752713
58.0,0.0941,0.09625455848680191,0.1065,-1.0245441513198088,0.0921,0.1,0.4236473489529912,0.029623394842625852,49.09205436706543,9.789466857910156,2150.7389545440674,-0.3745441513198097
60.0,0.0973,0.09611277667225508,0.097,-0.0887223327744921,0.0953,0.1,0.4778344909168933,0.03365132167245358,4.056692123413086,3.726959228515625,2056.1442375183105,-0.38872233277449236
62.0,0.0793,0.0946614826861153,0.1033,-0.8638517313884708,0.0985,0.1,0.47550888089673665,0.03220010189718624,23.69070053100586,6.0672760009765625,2136.0602378845215,-0.5338517313884711
64.0,0.0973,0.09467526162549246,0.1033,-0.8624738374507543,0.0921,0.1,0.4594469585536603,0.030913223385066444,74.42831993103027,8.518218994140625,2156.841278076172,-0.5324738374507545
66.0,0.0941,0.09486759535660108,0.097,-0.2132404643398922,0.0985,0.1,0.4152129942352612,0.027859620329406275,4.741191864013672,6.654977798461914,2032.9666137695312,-0.5132404643398925
68.0,0.1006,0.0958144068314543,0.1033,-0.7485593168545703,0.1017,0.1,0.3428728395963464,0.023339932584235116,6.528139114379883,7.090568542480469,2112.3340129852295,-0.41855931685457065
70.0,0.1068,0.09747445183749295,0.1097,-1.2225548162507052,0.108,0.1,0.32379435695176007,0.023607289193153063,5.853176116943359,7.674217224121094,2106.0268878936768,-0.2525548162507052
72.0,0.0973,0.09796825557162102,0.1097,-1.1731744428378987,0.108,0.1,0.3784862464773621,0.028387843581446883,5.3577423095703125,8.976459503173828,2120.806932449341,-0.2031744428378987
74.0,0.088,0.09689021607727494,0.1033,-0.6409783922725065,0.0985,0.1,0.4210353521687802,0.030452621436399624,2.6035308837890625,4.91023063659668,2093.5609340667725,-0.3109783922725068
76.0,0.0941,0.09611925512032927,0.1065,-1.0380744879670722,0.0921,0.1,0.42625077931498795,0.029777558334629604,3.370523452758789,5.866289138793945,2103.954315185547,-0.38807448796707306
78.0,0.0973,0.09600285478054985,0.097,-0.09971452194501573,0.0953,0.1,0.4706624606261906,0.032990024939196935,19.00649070739746,8.492708206176758,2125.5738735198975,-0.399714521945016
80.0,0.0878,0.09489116554834064,0.0907,0.41911655483406335,0.089,0.1,0.47705791101591655,0.03245013682430961,3.7839412689208984,3.6895275115966797,2093.5826301574707,-0.510883445165937
82.0,0.0941,0.09471977271730316,0.0938,0.09197727173031606,0.0922,0.1,0.5291895903808054,0.036316979962661894,0.0,12.751340866088867,2113.0764484405518,-0.528022728269685
84.0,0.0764,0.09330844299208221,0.0968,-0.3491557007917784,0.0955,0.1,0.6098199551090178,0.041482016173294396,4.204034805297852,8.6212158203125,2106.8856716156006,-0.6691557007917792
