t_s,h1_meas_m,h1_est_m,h2_est_m,h2_real_m,error_obs_cm,h3_meas_m,h3_est_m,ref_m,u1,u3,z_int,error_ctrl_cm
0.0,0.0217,0.0217,0.003,0.003,0.0,0.0135,0.0135,0.1,1.0,0.9999999969884007,0.0,-9.700000000000001
2.0,0.0217,0.018276150097023904,0.005977704045383207,0.003,0.2977704045383207,0.0083,0.011277554328926217,0.1,0.9999999849513556,0.9999999635814806,0.0,-9.40222959546168
4.0,0.0217,0.021637368142246965,0.009153424355741716,0.003,0.6153424355741716,0.0302,0.017952420155025805,0.1,0.9999999867460965,0.9999999663570979,0.0,-9.084657564425829
6.0,0.0417,0.028624571846417885,0.013994785994904604,0.0355,-2.150521400509539,0.039,0.025988008093205672,0.1,0.9999999990266331,0.999999989015538,0.0,-8.60052140050954
8.0,0.0649,0.0389314781671436,0.02092527294142203,0.0558,-3.487472705857797,0.0508,0.03565137316095633,0.1,0.9999999876064016,0.9999999659850937,0.0,-7.907472705857797
10.0,0.0735,0.049604762023249364,0.028867855450560392,0.0759,-4.703214454943961,0.0652,0.046793255913547785,0.1,0.9999999807796602,0.9999999485742169,0.0,-7.113214454943961
12.0,0.0973,0.06321329983449861,0.03921028634444776,0.0939,-5.468971365555224,0.0856,0.06056843723133966,0.1,0.9999999473319694,0.9999998564613597,0.0,-6.078971365555224
14.0,0.1038,0.07616735336878494,0.05013910695053324,0.1128,-6.266089304946676,0.1048,0.07589324690503002,0.1,0.9999998554976607,0.9999993577207812,0.0,-4.986089304946677
16.0,0.1228,0.09081882896144584,0.06293542933602067,0.1225,-5.956457066397933,0.1305,0.09398349510102934,0.1,0.9999991002041917,0.4309747381528359,0.0,-3.7064570663979337
18.0,0.1419,0.10660922102391195,0.07660444103735446,0.1385,-6.189555896264555,0.1402,0.11114679959410839,0.1,0.5661132205553666,0.05212976983885597,0.0,-2.3395558962645544
20.0,0.1482,0.12105239701261562,0.08946516228921,0.1448,-5.533483771079001,0.1436,0.11925826749036812,0.1,9.291645939578007e-08,2.0187213066324487e-07,0.0,-1.0534837710790002
22.0,0.1544,0.1293001314800688,0.10112482644101495,0.1415,-4.037517355898504,0.1402,0.12107114470331296,0.1,2.8403559827246773e-08,6.666877094457062e-08,0.0,0.11248264410149422
24.0,0.1514,0.12955881026549435,0.11033251627649308,0.1511,-4.076748372350693,0.1403,0.1225498121380681,0.1,1.5585951686139144e-08,4.061985655741674e-08,0.0,1.0332516276493078
26.0,0.1449,0.1297649733155232,0.11676332578505315,0.1543,-3.7536674214946846,0.1468,0.1254002037870576,0.1,9.004699439179296e-09,2.738807501362076e-08,0.0,1.6763325785053143
28.0,0.1482,0.13136857871781193,0.1221338796764375,0.1478,-2.5666120323562485,0.1499,0.12860867870477305,0.1,5.953576542121402e-09,2.1309277716456778e-08,0.0,2.21338796764375
30.0,0.1514,0.13353091498050698,0.12600116392726504,0.1415,-1.5498836072734945,0.1402,0.1292230291042054,0.1,4.403489706207012e-09,1.8227459813384824e-08,0.0,2.6001163927265036
32.0,0.1451,0.13424459832023067,0.12853995544759894,0.1448,-1.626004455240107,0.1466,0.1310831683204619,0.1,2.9055131012113944e-09,1.525258361566876e-08,0.0,2.8539955447598935
34.0,0.1482,0.135636801324388,0.13107264590340517,0.1511,-2.002735409659484,0.1499,0.1333745549414375,0.1,0.0,2.286185991510501e-09,0.0,3.1072645903405167
36.0,0.1419,0.13541545345551553,0.13175447872088464,0.1448,-1.3045521279115375,0.1434,0.13357953307764034,0.1,2.2032139715955805e-09,1.3866202659498863e-08,0.0,3.1754478720884634
38.0,0.1449,0.13598375613341634,0.13285910946360344,0.148,-1.5140890536396556,0.1466,0.13457989621771407,0.1,1.600577015474131e-09,1.2668036985183354e-08,0.0,3.2859109463603433
40.0,0.1482,0.13715770246636041,0.13437607531729717,0.1383,-0.3923924682702834,0.1499,0.13618103090656009,0.1,0.0,2.1599933975439506e-09,0.0,3.4376075317297166
42.0,0.1419,0.1366705490145633,0.13428899230372424,0.1415,-0.7211007696275751,0.1434,0.13581523837871884,0.1,0.0,1.706583562544307e-09,0.0,3.428899230372423
44.0,0.1451,0.13702577888350986,0.13484997484363503,0.1352,-0.03500251563649526,0.1466,0.13637699786164084,0.1,0.0,2.588420361975847e-09,0.0,3.484997484363503
46.0,0.1386,0.1358542631969808,0.13397894133321772,0.1383,-0.4321058666782285,0.1402,0.13522959137248694,0.1,0.0,1.9935696034987784e-09,0.0,3.3978941333217714
48.0,0.1417,0.13567039737711536,0.13391968596456355,0.132,0.19196859645635445,0.1434,0.13520738233521834,0.1,0.0,2.9884250352070418e-09,0.0,3.3919685964563544
50.0,0.1354,0.13407062785037877,0.1323792912559624,0.1352,-0.28207087440375866,0.1339,0.13291770691592275,0.1,4.62647517828596e-09,1.8707422808947943e-08,0.0,3.2379291255962395
52.0,0.1259,0.13094822073639747,0.130247619636123,0.1288,0.14476196361229987,0.1402,0.13240355721634287,0.1,0.0,5.4477610390470345e-09,0.0,3.024761963612299
54.0,0.1324,0.12987281635695036,0.12881530262475238,0.132,-0.3184697375247625,0.1306,0.13005501082895848,0.1,7.184566806721516e-09,2.384575682936549e-08,0.0,2.8815302624752377
56.0,0.1354,0.12954602273141666,0.12770489660688372,0.1256,0.21048966068837327,0.1242,0.1269803717915637,0.1,9.730633315448604e-09,2.8982819738886885e-08,0.0,2.7704896606883715
58.0,0.1259,0.12731274589121294,0.12578269450833426,0.1288,-0.3017305491665734,0.1274,0.1252257656844223,0.1,1.0260022575968694e-08,3.005610187286443e-08,0.0,2.578269450833426
60.0,0.1324,0.12704050704516665,0.1253719848950315,0.1225,0.2871984895031515,0.1306,0.1248302777050422,0.1,1.299118324697117e-08,3.5686546696209746e-08,0.0,2.537198489503151
62.0,0.1228,0.124687857459308,0.12330379127861844,0.1256,-0.22962087213815457,0.124,0.12281093898583238,0.1,1.3976099204350814e-08,3.770655965631905e-08,-0.015,2.330379127861844
64.0,0.1291,0.12429258874288432,0.12276219135756339,0.1288,-0.603780864243661,0.1274,0.12226307401768488,0.1,1.3364822307339152e-08,3.645413712800069e-08,-0.015,2.2762191357563384
66.0,0.1322,0.1246386723640181,0.12298876805365504,0.1225,0.04887680536550393,0.1306,0.12265309802964408,0.1,1.70215617945235e-08,4.396784319785113e-08,-0.015,2.298876805365503
68.0,0.1228,0.1228136602133308,0.12147335306177358,0.1256,-0.4126646938226411,0.1242,0.12127627309428736,0.1,2.734358483149112e-08,6.552875908308296e-08,-0.015,2.1473353061773572
