t_s,h1_meas_m,h1_est_m,h2_est_m,h2_real_m,error_obs_cm,h3_meas_m,h3_est_m,ref_m,u1,u3,z_int,error_ctrl_cm
0.0,0.0164,0.0164,0.0159,0.0159,0.0,0.0161,0.0161,0.1,0.9999927334897626,0.09029208269021093,0.0,-8.41
2.0,0.0244,0.01755282850407069,0.01542093348571215,0.0159,-0.04790665142878504,0.0032,0.012284873062825215,0.1,0.9999989774980285,0.3647284402310308,0.0,-8.457906651428786
4.0,0.0244,0.022651076593335904,0.014990601847168087,0.0159,-0.09093981528319142,0.0032,0.01006406301644418,0.1,0.9999993103375007,0.5432834178344894,0.0,-8.500939815283191
6.0,0.0331,0.02861747667701938,0.016873252963878746,0.0239,-0.7026747036121255,0.0161,0.012653497695437433,0.1,0.9999990966973944,0.4308279994275771,0.0,-8.312674703612126
8.0,0.0504,0.03702441187650254,0.021371007781522528,0.0382,-1.682899221847747,0.0361,0.01928059989529526,0.1,0.9999986718739717,0.2997957066171706,0.0,-7.862899221847748
10.0,0.056,0.04517630351733031,0.026702721498772102,0.0497,-2.29972785012279,0.0479,0.02651144400693734,0.1,0.9999975932740091,0.1805813258505026,0.0,-7.32972785012279
12.0,0.062,0.053257516699671964,0.03284619798132643,0.0582,-2.535380201867357,0.0623,0.03438021924582009,0.1,0.9999918255780484,0.084485746401292,0.0,-6.715380201867357
14.0,0.0763,0.06272951406376208,0.040032483015731146,0.0728,-3.2767516984268856,0.0681,0.04142654015491018,0.1,0.6522909585637023,0.028714813816526435,0.0,-5.996751698426886
16.0,0.0941,0.07399941737345563,0.04863549649058027,0.0815,-3.286450350941973,0.0769,0.04843802347378577,0.1,0.1910711025890981,0.004266137462940816,0.0,-5.136450350941973
18.0,0.0973,0.080843349353508,0.057069761912952384,0.0905,-3.3430238087047615,0.0856,0.05545247625737196,0.1,0.3379516390239174,0.02312615364484711,0.0,-4.2930238087047625
20.0,0.0763,0.07837799102546966,0.06211958909404632,0.0938,-3.1680410905953673,0.0921,0.06179756997278985,0.1,0.6355666593461611,0.04021417884262164,0.0,-3.7880410905953683
22.0,0.082,0.0796276475017272,0.065898499269638,0.0844,-1.8501500730361997,0.0827,0.06536474979349043,0.1,0.9086239447139417,0.05182621664956785,0.0,-3.4101500730362
24.0,0.0849,0.08408201283639741,0.06908620094997824,0.0936,-2.4513799050021765,0.0827,0.06834449153173962,0.1,0.6153906951561305,0.02795919748880963,0.0,-3.091379905002177
26.0,0.1068,0.09475836279957348,0.07562697813955524,0.1031,-2.7473021860444757,0.1048,0.07558795144912067,0.1,0.4948815955108992,0.025966408421652872,0.0,-2.4373021860444766
28.0,0.1099,0.10043233641241212,0.08141004535647187,0.1063,-2.488995464352814,0.0985,0.0798957573824206,0.1,0.5538222349497479,0.032785767503750576,0.0,-1.858995464352814
30.0,0.1068,0.10323758078732811,0.08634656767760295,0.1159,-2.9553432322397057,0.108,0.08517189299944618,0.1,0.5528649923197583,0.0321821041863997,0.0,-1.365343232239706
32.0,0.1164,0.10822708029366317,0.0915975623841536,0.1193,-2.7702437615846396,0.1113,0.09027095187688472,0.1,0.4500755000213491,0.025921293312378295,0.0,-0.8402437615846401
