t_s,h1_meas_m,h2_est_m,h2_real_m,error_obs_cm,h3_meas_m,ref_m,u1,u3,t_mhe_ms,t_mpc_ms,t_total_ms,error_ctrl_cm
0.0,0.0191,0.1,0.0159,8.41,0.0113,0.1,0.8238803381631855,0.05926668104074664,1.3415813446044922,12.617349624633789,2183.8839054107666,0.0
2.0,0.0191,0.08834816309444507,0.0159,7.2448163094445075,0.0111,0.1,0.9999882135444891,0.09122803138105583,4.8065185546875,8.297204971313477,2171.77152633667,-1.1651836905554935
4.0,0.0217,0.07915862152733297,0.0161,6.3058621527332965,0.019,0.1,0.9999967698012325,0.11265458919481876,4.755973815917969,5.315303802490234,2163.7778282165527,-2.084137847266704
6.0,0.0419,0.07357914474432072,0.0184,5.517914474432072,0.0113,0.1,0.9999970778891527,0.12119755634879437,3.625631332397461,9.903430938720703,2159.848213195801,-2.642085525567929
8.0,0.0504,0.0708331887946887,0.0269,4.393318879468869,0.0249,0.1,0.9999968022502781,0.11678196098879481,4.411458969116211,9.070873260498047,2120.366334915161,-2.916681120531131
10.0,0.062,0.07033366428077253,0.0412,2.9133664280772535,0.0365,0.1,0.9999959652136364,0.10456094017997128,5.744695663452148,8.157491683959961,2121.6726303100586,-2.9666335719227472
12.0,0.0677,0.07137871619535299,0.0472,2.4178716195352994,0.0509,0.1,0.9999934469867564,0.08588230703175878,27.94933319091797,7.04193115234375,2128.345251083374,-2.8621283804647013
14.0,0.0764,0.07402703815942253,0.073,0.10270381594225386,0.0684,0.1,0.9999792336888781,0.06928745932830704,26.829004287719727,8.263111114501953,2107.4893474578857,-2.5972961840577473
16.0,0.0822,0.07723962928542955,0.0788,-0.15603707145704498,0.074,0.1,0.90741152060804,0.05385263921398559,8.454322814941406,7.971763610839844,2088.58323097229,-2.276037071457046
18.0,0.0909,0.08120696315081585,0.0875,-0.6293036849184142,0.0829,0.1,0.7399445031062436,0.042023469375871925,5.186796188354492,8.396148681640625,2103.8243770599365,-1.8793036849184153
20.0,0.0943,0.08543107803775328,0.1002,-1.4768921962246717,0.0953,0.1,0.5624185441848257,0.03206412551718756,11.106491088867188,8.630514144897461,2126.030445098877,-1.4568921962246726
22.0,0.1006,0.08988753264025236,0.1033,-1.3412467359747646,0.1082,0.1,0.41527026634677305,0.025020531000371368,6.061553955078125,7.735729217529297,2100.3470420837402,-1.0112467359747648
24.0,0.1133,0.09389041297754983,0.1097,-1.580958702245018,0.1017,0.1,0.29504462533045,0.01953589378578714,6.091594696044922,7.793188095092773,2100.234270095825,-0.610958702245018
26.0,0.1133,0.09735481595763092,0.1034,-0.604518404236909,0.1147,0.1,0.23058301854805607,0.017674541565261267,26.141881942749023,8.629083633422852,2127.7995109558105,-0.2645184042369089
28.0,0.1133,0.0995138715436084,0.1128,-1.32861284563916,0.1114,0.1,0.2500380896311753,0.02082363257418101,51.21016502380371,8.562088012695312,2139.800548553467,-0.04861284563916074
30.0,0.1038,0.09965884231465437,0.1065,-0.6841157685345628,0.105,0.1,0.29445762666918884,0.023865508306195604,9.135723114013672,9.048700332641602,2063.8439655303955,-0.034115768534563606
32.0,0.0973,0.09901314076681535,0.1097,-1.068685923318466,0.1082,0.1,0.33381189728057786,0.025823786441363496,7.371425628662109,8.680343627929688,2104.91681098938,-0.09868592331846587
34.0,0.1006,0.09831987593831745,0.1033,-0.49801240616825504,0.0987,0.1,0.37601496736061213,0.028084297736260526,6.162405014038086,9.326934814453125,2106.802225112915,-0.1680124061682553
36.0,0.0909,0.09727729277203777,0.1065,-0.9222707227962229,0.105,0.1,0.3725223511235921,0.026774853259360507,23.24080467224121,8.605003356933594,2137.880802154541,-0.2722707227962237
38.0,0.0973,0.09722342500754876,0.1,-0.277657499245125,0.1082,0.1,0.39333425942211325,0.028382470649738156,7.248640060424805,8.103370666503906,2083.099365234375,-0.277657499245125
40.0,0.091,0.09662331553701337,0.1033,-0.6676684462986637,0.1017,0.1,0.3867295628818985,0.027394177882090007,5.24139404296875,9.097576141357422,2105.8950424194336,-0.337668446298664
42.0,0.0943,0.09677661463895205,0.097,-0.022338536104794804,0.105,0.1,0.5377595144885194,0.039323604599897664,4.26173210144043,7.667303085327148,2105.39174079895,-0.32233853610479507
44.0,0.062,0.09318630583503187,0.1,-0.6813694164968132,0.0859,0.1,0.5554740475503223,0.037198797924130174,394.03319358825684,8.872032165527344,2504.8134326934814,-0.6813694164968132
