t_s,h1_meas_m,h2_est_m,h2_real_m,error_obs_cm,h3_meas_m,ref_m,u1,u3,t_mhe_ms,t_mpc_ms,t_total_ms,error_ctrl_cm
0.0,0.0164,0.1,0.0157,8.430000000000001,0.0215,0.1,0.8400442334176019,0.06048205580193752,4.044771194458008,11.038780212402344,2184.85164642334,0.0
2.0,0.0164,0.0879800956009928,0.0157,7.22800956009928,0.0083,0.1,0.9999894527704722,0.09458675247187456,4.3010711669921875,9.712696075439453,2168.445587158203,-1.20199043990072
4.0,0.0164,0.07851150658344803,0.0157,6.281150658344803,0.0215,0.1,0.9999969069925532,0.11619217003175321,1.3012886047363281,11.668920516967773,2169.2326068878174,-2.1488493416551973
6.0,0.036,0.07295457292868075,0.021,5.195457292868075,0.0215,0.1,0.9999950124595448,0.13463708156102194,6.284475326538086,8.511066436767578,2157.7956676483154,-2.7045427071319255
8.0,0.0389,0.06894080247299246,0.0353,3.3640802472992464,0.0188,0.1,0.9999973447565014,0.1310202504713912,3.8726329803466797,3.536224365234375,2127.875804901123,-3.1059197527007547
10.0,0.056,0.06829625403752368,0.044,2.429625403752368,0.0392,0.1,0.9999967499138183,0.11810437400347672,4.0607452392578125,2.606630325317383,2114.015579223633,-3.1703745962476324
12.0,0.0618,0.0692240660998236,0.0584,1.0824066099823595,0.0535,0.1,0.9999952520544146,0.09847494920621062,4.0645599365234375,8.939743041992188,2113.9862537384033,-3.077593390017641
14.0,0.0763,0.07173243750890058,0.0642,0.7532437508900591,0.0594,0.1,0.9999892395959648,0.07691111980629436,2.3589134216308594,4.90880012512207,2099.703550338745,-2.826756249109942
16.0,0.082,0.0753809748482854,0.0813,-0.5919025151714594,0.0769,0.1,0.9522115964125366,0.058310080451985886,21.507978439331055,12.482643127441406,2135.129690170288,-2.4619025151714604
18.0,0.0909,0.07965569434749964,0.0904,-1.0744305652500354,0.0829,0.1,0.7912480706853092,0.04526293097548419,0.0,13.564348220825195,2093.0724143981934,-2.0344305652500365
